,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
136,132,Kevin De Bruyne,BEL,MF,Manchester City,32.0,1991.0,7.5,3.0,21.0,6.0,28.6,2.81,0.8,0.14,0.5,22.2,4.0,0.0,0.0,1.1,1.1,0.05,1.9,1.9,Matches,November
137,133,Hannes Delcroix,BEL,DF,Burnley,25.0,1999.0,6.5,0.0,4.0,2.0,50.0,0.61,0.31,0.0,0.0,11.2,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,Matches,July
138,134,Leander Dendoncker,BEL,MF,Aston Villa,28.0,1995.0,1.3,1.0,2.0,1.0,50.0,1.51,0.76,0.5,1.0,12.5,0.0,0.0,0.0,0.7,0.7,0.37,0.3,0.3,Matches,September
139,135,Moussa Diaby,FRA,"FW,MF",Aston Villa,24.0,1999.0,19.1,5.0,44.0,17.0,38.6,2.3,0.89,0.11,0.29,16.2,0.0,0.0,0.0,5.2,5.2,0.12,-0.2,-0.2,Matches,November
140,136,Amad Diallo,CIV,FW,Manchester Utd,21.0,2002.0,0.5,0.0,1.0,1.0,100.0,1.87,1.87,0.0,0.0,14.6,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,November
141,137,Amadou Diallo,ENG,MF,Newcastle Utd,21.0,2003.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,July
142,138,Rúben Dias,POR,DF,Manchester City,26.0,1997.0,24.4,0.0,16.0,7.0,43.8,0.65,0.29,0.0,0.0,14.2,0.0,0.0,0.0,1.1,1.1,0.07,-1.1,-1.1,Matches,October
143,139,Luis Díaz,COL,FW,Liverpool,27.0,1997.0,23.4,8.0,80.0,26.0,32.5,3.42,1.11,0.1,0.31,15.4,0.0,0.0,0.0,10.3,10.3,0.13,-2.3,-2.3,Matches,June
144,140,Eric Dier,ENG,DF,Tottenham,30.0,1994.0,2.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
145,141,Lucas Digne,FRA,DF,Aston Villa,30.0,1993.0,20.8,1.0,17.0,4.0,23.5,0.82,0.19,0.06,0.25,19.7,5.0,0.0,0.0,0.9,0.9,0.05,0.1,0.1,Matches,December
146,142,Issa Diop,FRA,DF,Fulham,27.0,1997.0,12.8,0.0,4.0,1.0,25.0,0.31,0.08,0.0,0.0,15.8,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Matches,June
147,143,Axel Disasi,FRA,DF,Chelsea,26.0,1998.0,27.6,2.0,15.0,4.0,26.7,0.54,0.15,0.13,0.5,10.8,0.0,0.0,0.0,1.5,1.5,0.1,0.5,0.5,Matches,August
148,144,Ben Doak,SCO,FW,Liverpool,18.0,2005.0,0.2,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,March
149,145,Lewis Dobbin,ENG,MF,Everton,21.0,2003.0,2.3,1.0,5.0,2.0,40.0,2.14,0.86,0.2,0.5,15.6,0.0,0.0,0.0,0.3,0.3,0.06,0.7,0.7,Matches,May
150,146,Matt Doherty,IRL,"DF,MF",Wolves,32.0,1992.0,8.6,1.0,7.0,2.0,28.6,0.81,0.23,0.14,0.5,11.0,0.0,0.0,0.0,0.7,0.7,0.1,0.3,0.3,Matches,June
151,147,Jeremy Doku,BEL,"FW,MF",Manchester City,21.0,2002.0,14.5,2.0,39.0,12.0,30.8,2.68,0.83,0.05,0.17,16.6,0.0,0.0,0.0,1.6,1.6,0.04,0.4,0.4,Matches,October
152,148,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,25.0,1998.0,15.4,2.0,21.0,6.0,28.6,1.36,0.39,0.1,0.33,16.9,0.0,0.0,0.0,1.3,1.3,0.06,0.7,0.7,Matches,November
153,149,Jamie Donley,ENG,FW,Tottenham,19.0,2005.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,May
154,150,Gabriel Dos Santos,BRA,DF,Arsenal,26.0,1997.0,27.2,4.0,28.0,10.0,35.7,1.03,0.37,0.14,0.4,7.5,0.0,0.0,0.0,4.0,4.0,0.14,0.0,0.0,Matches,May
155,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
156,151,Abdoulaye Doucouré,MLI,"FW,MF",Everton,31.0,1993.0,22.9,6.0,40.0,18.0,45.0,1.75,0.79,0.15,0.33,12.4,0.0,0.0,0.0,6.7,6.7,0.18,-0.7,-0.7,Matches,June
157,152,Cheick Doucouré,MLI,MF,Crystal Palace,24.0,2000.0,10.2,0.0,6.0,2.0,33.3,0.59,0.2,0.0,0.0,21.6,0.0,0.0,0.0,0.3,0.3,0.05,-0.3,-0.3,Matches,June
158,153,Alfie Doughty,ENG,DF,Luton Town,24.0,1999.0,26.6,1.0,22.0,4.0,18.2,0.83,0.15,0.05,0.25,16.2,1.0,0.0,0.0,1.1,1.1,0.05,-0.1,-0.1,Matches,May
159,154,Tommy Doyle,ENG,MF,Wolves,22.0,2001.0,10.8,0.0,11.0,3.0,27.3,1.02,0.28,0.0,0.0,25.4,2.0,0.0,0.0,0.4,0.4,0.03,-0.4,-0.4,Matches,March
160,155,Radu Drăgușin,ROU,DF,Tottenham,22.0,2002.0,2.6,0.0,1.0,0.0,0.0,0.39,0.0,0.0,,10.4,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,Matches,June
161,156,Martin Dúbravka,SVK,GK,Newcastle Utd,35.0,1989.0,16.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
162,157,Paul Dummett,WAL,DF,Newcastle Utd,32.0,1991.0,0.2,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,16.1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,February
163,158,Lewis Dunk,ENG,DF,Brighton,32.0,1991.0,26.4,3.0,31.0,11.0,35.5,1.18,0.42,0.1,0.27,13.7,4.0,0.0,0.0,3.0,3.0,0.1,0.0,0.0,Matches,April
164,159,Jhon Durán,COL,"FW,MF",Aston Villa,20.0,2003.0,3.8,3.0,14.0,5.0,35.7,3.64,1.3,0.21,0.6,16.2,0.0,0.0,0.0,1.5,1.5,0.11,1.5,1.5,Matches,May
165,160,Ederson,BRA,GK,Manchester City,30.0,1993.0,25.7,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,January
166,161,Odsonne Édouard,FRA,"FW,MF",Crystal Palace,26.0,1998.0,16.1,7.0,49.0,18.0,36.7,3.04,1.12,0.14,0.39,13.5,3.0,0.0,0.0,6.2,6.2,0.13,0.8,0.8,Matches,June
167,162,John Egan,IRL,DF,Sheffield Utd,31.0,1992.0,5.4,0.0,3.0,1.0,33.3,0.56,0.19,0.0,0.0,10.3,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,March
168,163,Hjalmar Ekdal,SWE,DF,Burnley,25.0,1998.0,3.6,0.0,2.0,1.0,50.0,0.55,0.28,0.0,0.0,16.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,March
169,164,Anthony Elanga,SWE,"FW,MF",Nott'ham Forest,21.0,2002.0,23.9,5.0,51.0,21.0,41.2,2.13,0.88,0.1,0.24,15.8,0.0,0.0,0.0,6.5,6.5,0.13,-1.5,-1.5,Matches,September
170,165,Harvey Elliott,ENG,"MF,FW",Liverpool,21.0,2003.0,10.0,2.0,32.0,10.0,31.3,3.2,1.0,0.06,0.2,22.3,1.0,0.0,0.0,1.4,1.4,0.04,0.6,0.6,Matches,August
171,166,Mohamed Elneny,EGY,MF,Arsenal,31.0,1992.0,0.3,0.0,2.0,1.0,50.0,6.43,3.21,0.0,0.0,25.8,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,December
172,167,Emerson,BRA,DF,Tottenham,25.0,1999.0,10.7,1.0,5.0,3.0,60.0,0.47,0.28,0.2,0.33,21.4,0.0,0.0,0.0,0.2,0.2,0.03,0.8,0.8,Matches,June
173,168,Julio Enciso,PAR,"MF,FW",Brighton,20.0,2004.0,2.6,0.0,16.0,6.0,37.5,6.1,2.29,0.0,0.0,22.3,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,Matches,June
174,169,Wataru Endo,JPN,MF,Liverpool,31.0,1993.0,13.9,1.0,8.0,2.0,25.0,0.58,0.14,0.13,0.5,23.2,0.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7,Matches,July
175,170,Christian Eriksen,DEN,MF,Manchester Utd,32.0,1992.0,9.9,1.0,9.0,4.0,44.4,0.91,0.41,0.11,0.25,21.5,1.0,0.0,0.0,0.7,0.7,0.08,0.3,0.3,Matches,July
176,171,Maxime Estève,FRA,DF,Burnley,21.0,2002.0,9.1,0.0,5.0,0.0,0.0,0.55,0.0,0.0,,18.3,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,Matches,October
177,172,Pervis Estupiñán,ECU,DF,Brighton,26.0,1998.0,13.7,2.0,11.0,6.0,54.5,0.8,0.44,0.18,0.33,18.8,0.0,0.0,0.0,1.0,1.0,0.09,1.0,1.0,Matches,June
178,173,Jonny Evans,NIR,DF,Manchester Utd,36.0,1988.0,12.3,0.0,1.0,0.0,0.0,0.08,0.0,0.0,,5.4,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Matches,June
179,174,Eberechi Eze,ENG,"MF,FW",Crystal Palace,25.0,1998.0,17.3,6.0,57.0,22.0,38.6,3.29,1.27,0.09,0.23,21.0,10.0,1.0,1.0,6.2,5.4,0.09,-0.2,-0.4,Matches,November
180,175,Łukasz Fabiański,POL,GK,West Ham,38.0,1985.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,September
181,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
182,176,Romain Faivre,FRA,"MF,DF",Bournemouth,25.0,1998.0,0.2,0.0,1.0,0.0,0.0,5.0,0.0,0.0,,14.3,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,Matches,December
183,177,Ansu Fati,ESP,"MF,FW",Brighton,21.0,2002.0,5.5,2.0,23.0,10.0,43.5,4.22,1.83,0.09,0.2,14.3,0.0,0.0,0.0,3.3,3.3,0.14,-1.3,-1.3,Matches,March
184,178,Felipe,BRA,DF,Nott'ham Forest,34.0,1989.0,4.2,0.0,3.0,0.0,0.0,0.72,0.0,0.0,,16.6,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,October
185,179,Evan Ferguson,IRL,FW,Brighton,19.0,2004.0,15.2,6.0,33.0,20.0,60.6,2.17,1.32,0.18,0.3,15.5,0.0,0.0,0.0,4.6,4.6,0.14,1.4,1.4,Matches,March
186,180,Bruno Fernandes,POR,"MF,FW",Manchester Utd,29.0,1994.0,30.0,6.0,78.0,29.0,37.2,2.6,0.97,0.05,0.14,22.6,11.0,2.0,3.0,8.0,5.6,0.07,-2.0,-1.6,Matches,February
187,181,Enzo Fernández,ARG,MF,Chelsea,23.0,2001.0,23.8,3.0,44.0,13.0,29.5,1.85,0.55,0.05,0.15,21.4,2.0,1.0,2.0,6.1,4.5,0.1,-3.1,-2.5,Matches,June
188,182,John Fleck,SCO,"MF,DF",Sheffield Utd,32.0,1991.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,January
189,183,Mark Flekken,NED,GK,Brentford,30.0,1993.0,30.5,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,November
190,184,Phil Foden,ENG,"FW,MF",Manchester City,23.0,2000.0,27.2,14.0,90.0,38.0,42.2,3.31,1.4,0.16,0.37,18.4,2.0,0.0,0.0,9.0,9.0,0.1,5.0,5.0,Matches,October
191,185,Wes Foderingham,ENG,GK,Sheffield Utd,33.0,1991.0,24.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
192,186,Pablo Fornals,ESP,"MF,FW",West Ham,28.0,1996.0,4.7,0.0,7.0,3.0,42.9,1.48,0.63,0.0,0.0,20.1,0.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,July
193,187,Omari Forson,ENG,FW,Manchester Utd,19.0,2004.0,0.7,0.0,1.0,0.0,0.0,1.36,0.0,0.0,,21.6,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,Matches,December
194,188,Lyle Foster,RSA,"FW,MF",Burnley,23.0,2000.0,15.3,4.0,23.0,10.0,43.5,1.51,0.65,0.17,0.4,15.4,0.0,0.0,0.0,2.6,2.6,0.12,1.4,1.4,Matches,January
195,189,Matheus França,BRA,"MF,FW",Crystal Palace,20.0,2004.0,2.6,0.0,8.0,2.0,25.0,3.1,0.78,0.0,0.0,21.8,0.0,0.0,0.0,0.4,0.4,0.05,-0.4,-0.4,Matches,August
196,190,Nathan Fraser,IRL,FW,Wolves,19.0,2005.0,2.0,0.0,3.0,2.0,66.7,1.48,0.99,0.0,0.0,16.6,0.0,0.0,0.0,0.3,0.3,0.11,-0.3,-0.3,Matches,July
197,191,Cody Gakpo,NED,"FW,MF",Liverpool,24.0,1999.0,13.4,6.0,45.0,17.0,37.8,3.36,1.27,0.13,0.35,15.9,0.0,0.0,0.0,6.3,6.3,0.14,-0.3,-0.3,Matches,September
198,192,Conor Gallagher,ENG,MF,Chelsea,24.0,2000.0,26.9,3.0,40.0,14.0,35.0,1.49,0.52,0.08,0.21,21.0,0.0,0.0,0.0,3.0,3.0,0.07,0.0,0.0,Matches,June
199,193,Idrissa Gana Gueye,SEN,MF,Everton,34.0,1989.0,15.4,1.0,20.0,3.0,15.0,1.3,0.2,0.05,0.33,22.2,0.0,0.0,0.0,1.1,1.1,0.05,-0.1,-0.1,Matches,March
200,194,Alejandro Garnacho,ARG,FW,Manchester Utd,19.0,2004.0,22.1,7.0,73.0,19.0,26.0,3.3,0.86,0.1,0.37,15.7,0.0,0.0,0.0,6.4,6.4,0.09,0.6,0.6,Matches,November
201,195,James Garner,ENG,MF,Everton,23.0,2001.0,28.0,1.0,33.0,10.0,30.3,1.18,0.36,0.03,0.1,22.3,4.0,0.0,0.0,2.3,2.3,0.07,-1.3,-1.3,Matches,August
202,196,Saman Ghoddos,IRN,DF,Brentford,30.0,1993.0,7.9,1.0,9.0,2.0,22.2,1.14,0.25,0.11,0.5,22.5,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7,Matches,February
203,197,Morgan Gibbs-White,ENG,"MF,FW",Nott'ham Forest,24.0,2000.0,29.1,4.0,57.0,11.0,19.3,1.96,0.38,0.05,0.27,20.4,3.0,1.0,1.0,5.8,5.0,0.09,-1.8,-2.0,Matches,June
204,198,Bryan Gil,ESP,"FW,MF",Tottenham,23.0,2001.0,2.2,0.0,3.0,1.0,33.3,1.38,0.46,0.0,0.0,11.4,0.0,0.0,0.0,0.7,0.7,0.24,-0.7,-0.7,Matches,July
205,199,Alfie Gilchrist,ENG,DF,Chelsea,20.0,2003.0,0.4,0.0,2.0,0.0,0.0,4.5,0.0,0.0,,13.8,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,Matches,April
206,200,Billy Gilmour,SCO,MF,Brighton,22.0,2001.0,19.8,0.0,23.0,5.0,21.7,1.16,0.25,0.0,0.0,25.7,0.0,0.0,0.0,0.9,0.9,0.04,-0.9,-0.9,Matches,October
207,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
208,201,Ben Godfrey,ENG,DF,Everton,26.0,1998.0,9.4,0.0,10.0,3.0,30.0,1.06,0.32,0.0,0.0,12.2,0.0,0.0,0.0,1.4,1.4,0.15,-1.4,-1.4,Matches,June
209,202,André Gomes,POR,"MF,FW",Everton,30.0,1993.0,3.8,1.0,7.0,4.0,57.1,1.86,1.06,0.14,0.25,21.7,2.0,0.0,0.0,0.3,0.3,0.04,0.7,0.7,Matches,December
210,203,João Gomes,BRA,MF,Wolves,23.0,2001.0,23.1,2.0,20.0,6.0,30.0,0.87,0.26,0.1,0.33,19.4,0.0,0.0,0.0,1.3,1.3,0.07,0.7,0.7,Matches,July
211,204,Toti Gomes,POR,DF,Wolves,25.0,1999.0,23.8,0.0,7.0,2.0,28.6,0.29,0.08,0.0,0.0,8.0,0.0,0.0,0.0,1.0,1.0,0.14,-1.0,-1.0,Matches,June
212,205,Joe Gomez,ENG,DF,Liverpool,26.0,1997.0,18.2,0.0,17.0,1.0,5.9,0.93,0.05,0.0,0.0,19.9,0.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,Matches,October
213,206,Sergio Gómez,ESP,FW,Manchester City,23.0,2000.0,0.3,0.0,1.0,0.0,0.0,2.9,0.0,0.0,,9.0,0.0,0.0,0.0,0.2,0.2,0.17,-0.2,-0.2,Matches,January
214,207,Anthony Gordon,ENG,FW,Newcastle Utd,23.0,2001.0,26.3,9.0,68.0,25.0,36.8,2.59,0.95,0.12,0.32,17.6,0.0,1.0,1.0,8.4,7.6,0.11,0.6,0.4,Matches,July
215,208,Kaide Gordon,ENG,FW,Liverpool,19.0,2004.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,February
216,209,Daniel Gore,ENG,MF,Manchester Utd,19.0,2004.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,February
217,210,Ryan Gravenberch,NED,MF,Liverpool,21.0,2002.0,10.1,0.0,17.0,7.0,41.2,1.69,0.7,0.0,0.0,20.5,0.0,0.0,0.0,1.6,1.6,0.09,-1.6,-1.6,Matches,October
218,211,Ivo Grbić,CRO,GK,Sheffield Utd,28.0,1996.0,6.6,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
219,212,Jack Grealish,ENG,FW,Manchester City,28.0,1995.0,10.2,3.0,22.0,5.0,22.7,2.16,0.49,0.14,0.6,16.1,0.0,0.0,0.0,2.1,2.1,0.09,0.9,0.9,Matches,February
220,213,Pascal Groß,GER,"MF,DF",Brighton,32.0,1991.0,27.6,4.0,45.0,15.0,33.3,1.63,0.54,0.07,0.2,19.6,4.0,1.0,1.0,5.4,4.6,0.1,-1.4,-1.6,Matches,November
221,214,Marc Guéhi,ENG,DF,Crystal Palace,23.0,2000.0,21.2,0.0,5.0,0.0,0.0,0.24,0.0,0.0,,9.7,0.0,0.0,0.0,0.6,0.6,0.13,-0.6,-0.6,Matches,December
222,215,Bruno Guimarães,BRA,MF,Newcastle Utd,26.0,1997.0,29.3,4.0,36.0,11.0,30.6,1.23,0.38,0.11,0.36,18.3,0.0,0.0,0.0,3.2,3.2,0.09,0.8,0.8,Matches,April
223,216,Malo Gusto,FRA,DF,Chelsea,20.0,2003.0,17.0,0.0,11.0,2.0,18.2,0.65,0.12,0.0,0.0,18.8,0.0,0.0,0.0,0.7,0.7,0.07,-0.7,-0.7,Matches,October
224,217,Joško Gvardiol,CRO,DF,Manchester City,22.0,2002.0,18.9,0.0,21.0,7.0,33.3,1.11,0.37,0.0,0.0,17.8,0.0,0.0,0.0,1.4,1.4,0.07,-1.4,-1.4,Matches,June
225,218,Erling Haaland,NOR,FW,Manchester City,23.0,2000.0,23.4,19.0,93.0,41.0,44.1,3.98,1.76,0.17,0.39,11.5,1.0,3.0,4.0,21.8,18.7,0.2,-2.8,-2.7,Matches,December
226,219,Antwoine Hackford,ENG,FW,Sheffield Utd,20.0,2004.0,0.1,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,August
227,220,Lewis Hall,ENG,DF,Newcastle Utd,19.0,2004.0,3.5,0.0,1.0,1.0,100.0,0.29,0.29,0.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,Matches,January
228,221,Gustavo Hamer,NED,MF,Sheffield Utd,26.0,1997.0,25.6,3.0,38.0,9.0,23.7,1.48,0.35,0.08,0.33,23.5,4.0,0.0,0.0,2.4,2.4,0.06,0.6,0.6,Matches,November
229,222,Luke Harris,WAL,MF,Fulham,19.0,2005.0,0.8,0.0,1.0,1.0,100.0,1.2,1.2,0.0,0.0,11.2,0.0,0.0,0.0,0.3,0.3,0.28,-0.3,-0.3,Matches,August
230,223,Jack Harrison,ENG,"MF,FW",Everton,27.0,1996.0,20.1,3.0,26.0,8.0,30.8,1.29,0.4,0.12,0.38,17.5,1.0,0.0,0.0,3.2,3.2,0.12,-0.2,-0.2,Matches,April
231,224,Daiki Hashioka,JPN,DF,Luton Town,24.0,1999.0,3.7,0.0,2.0,0.0,0.0,0.55,0.0,0.0,,18.1,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,Matches,October
232,225,Kai Havertz,GER,"MF,FW",Arsenal,24.0,1999.0,22.5,9.0,44.0,15.0,34.1,1.96,0.67,0.18,0.53,12.1,0.0,1.0,1.0,8.9,8.1,0.18,0.1,-0.1,Matches,November
233,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
234,226,Jan Paul van Hecke,NED,DF,Brighton,23.0,2000.0,24.3,0.0,15.0,6.0,40.0,0.62,0.25,0.0,0.0,11.3,0.0,0.0,0.0,1.2,1.2,0.08,-1.2,-1.2,Matches,October
235,227,Hwang Hee-chan,KOR,"FW,MF",Wolves,28.0,1996.0,18.0,10.0,35.0,12.0,34.3,1.94,0.67,0.26,0.75,12.6,0.0,1.0,1.0,6.3,5.6,0.16,3.7,3.4,Matches,June
236,228,Dean Henderson,ENG,GK,Crystal Palace,27.0,1997.0,11.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,August
237,229,Rico Henry,ENG,DF,Brentford,26.0,1997.0,4.5,0.0,2.0,0.0,0.0,0.45,0.0,0.0,,19.2,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,Matches,December
238,230,Son Heung-min,KOR,FW,Tottenham,31.0,1992.0,26.0,15.0,70.0,32.0,45.7,2.69,1.23,0.2,0.44,15.1,0.0,1.0,1.0,9.3,8.5,0.12,5.7,5.5,Matches,December
239,231,Aaron Hickey,SCO,DF,Brentford,21.0,2002.0,7.9,0.0,7.0,1.0,14.3,0.88,0.13,0.0,0.0,25.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,Matches,October
240,232,James Hill,ENG,DF,Bournemouth,22.0,2002.0,0.8,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,June
241,233,Jack Hinshelwood,ENG,DF,Brighton,18.0,2005.0,9.7,3.0,14.0,8.0,57.1,1.45,0.83,0.21,0.38,9.2,0.0,0.0,0.0,1.9,1.9,0.14,1.1,1.1,Matches,August
242,234,Mason Holgate,ENG,DF,Sheffield Utd,27.0,1996.0,4.9,0.0,2.0,0.0,0.0,0.41,0.0,0.0,,7.1,0.0,0.0,0.0,0.4,0.4,0.22,-0.4,-0.4,Matches,March
243,235,Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23.0,2000.0,14.8,5.0,23.0,13.0,56.5,1.55,0.88,0.22,0.38,17.6,1.0,0.0,0.0,1.8,1.8,0.08,3.2,3.2,Matches,March
244,236,Will Hughes,ENG,MF,Crystal Palace,28.0,1995.0,16.4,0.0,4.0,2.0,50.0,0.24,0.12,0.0,0.0,18.4,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,September
245,237,Pierre Højbjerg,DEN,MF,Tottenham,28.0,1995.0,11.9,0.0,15.0,5.0,33.3,1.26,0.42,0.0,0.0,26.9,2.0,0.0,0.0,0.5,0.5,0.04,-0.5,-0.5,Matches,January
246,238,Rasmus Højlund,DEN,FW,Manchester Utd,21.0,2003.0,19.0,7.0,31.0,16.0,51.6,1.63,0.84,0.23,0.44,11.4,0.0,0.0,0.0,6.7,6.7,0.22,0.3,0.3,Matches,June
247,239,Igor,BRA,DF,Brighton,26.0,1998.0,12.1,0.0,4.0,0.0,0.0,0.33,0.0,0.0,,22.6,0.0,0.0,0.0,0.2,0.2,0.05,-0.2,-0.2,Matches,July
248,240,Danny Ings,ENG,FW,West Ham,31.0,1992.0,2.9,1.0,9.0,3.0,33.3,3.06,1.02,0.11,0.33,13.4,0.0,0.0,0.0,1.1,1.1,0.13,-0.1,-0.1,Matches,December
249,241,Tim Iroegbunam,ENG,MF,Aston Villa,20.0,2003.0,1.4,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,Matches,November
250,242,Alexander Isak,SWE,FW,Newcastle Utd,24.0,1999.0,18.6,15.0,50.0,26.0,52.0,2.69,1.4,0.22,0.42,14.3,0.0,4.0,4.0,14.4,11.2,0.23,0.6,-0.2,Matches,February
251,243,Alex Iwobi,NGA,MF,Everton,27.0,1996.0,1.6,0.0,4.0,2.0,50.0,2.57,1.29,0.0,0.0,16.2,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3,Matches,September
252,244,Alex Iwobi,NGA,"FW,MF",Fulham,27.0,1996.0,18.6,5.0,45.0,15.0,33.3,2.42,0.81,0.11,0.33,18.4,0.0,0.0,0.0,4.8,4.8,0.11,0.2,0.2,Matches,September
253,245,Nicolas Jackson,SEN,FW,Chelsea,22.0,2001.0,23.2,9.0,57.0,28.0,49.1,2.46,1.21,0.16,0.32,12.6,0.0,0.0,0.0,13.4,13.4,0.24,-4.4,-4.4,Matches,November
254,246,Reece James,ENG,DF,Chelsea,24.0,1999.0,4.3,0.0,7.0,1.0,14.3,1.62,0.23,0.0,0.0,20.9,3.0,0.0,0.0,0.3,0.3,0.04,-0.3,-0.3,Matches,May
255,247,Vitaly Janelt,GER,"MF,DF",Brentford,25.0,1998.0,28.7,0.0,18.0,5.0,27.8,0.63,0.17,0.0,0.0,17.2,0.0,0.0,0.0,1.5,1.5,0.08,-1.5,-1.5,Matches,October
256,248,Mathias Jensen,DEN,MF,Brentford,28.0,1996.0,20.6,3.0,12.0,6.0,50.0,0.58,0.29,0.25,0.5,27.6,3.0,0.0,0.0,0.6,0.6,0.05,2.4,2.4,Matches,May
257,249,Gabriel Jesus,BRA,FW,Arsenal,27.0,1997.0,14.2,4.0,49.0,18.0,36.7,3.46,1.27,0.08,0.22,11.8,0.0,0.0,0.0,6.0,6.0,0.12,-2.0,-2.0,Matches,August
258,250,Raúl Jiménez,MEX,FW,Fulham,32.0,1991.0,14.2,5.0,37.0,15.0,40.5,2.61,1.06,0.14,0.33,15.0,0.0,0.0,0.0,4.5,4.5,0.12,0.5,0.5,Matches,October
259,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
260,251,João Pedro,BRA,"FW,MF",Brighton,22.0,2001.0,16.8,8.0,50.0,18.0,36.0,2.98,1.07,0.08,0.22,15.0,0.0,4.0,4.0,8.7,5.6,0.11,-0.7,-1.6,Matches,February
261,252,Joelinton,BRA,"MF,FW",Newcastle Utd,27.0,1996.0,12.6,2.0,15.0,5.0,33.3,1.19,0.4,0.13,0.4,16.0,0.0,0.0,0.0,2.3,2.3,0.15,-0.3,-0.3,Matches,January
