,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,Birth Month
567,547,Joe Willock,ENG,MF,Newcastle Utd,24.0,1999.0,4.7,1.0,7.0,3.0,42.9,1.5,0.64,0.14,0.33,10.9,0.0,0.0,0.0,0.8,0.8,0.12,0.2,0.2,Matches,January
568,548,Callum Wilson,ENG,FW,Newcastle Utd,32.0,1992.0,9.6,7.0,29.0,15.0,51.7,3.03,1.57,0.17,0.33,12.2,0.0,2.0,2.0,7.2,5.7,0.2,-0.2,-0.7,Matches,July
569,549,Harry Wilson,WAL,FW,Fulham,27.0,1997.0,16.3,3.0,35.0,11.0,31.4,2.14,0.67,0.09,0.27,19.3,3.0,0.0,0.0,3.1,3.1,0.09,-0.1,-0.1,Matches,August
570,550,Yoane Wissa,COD,FW,Brentford,27.0,1996.0,23.6,8.0,59.0,19.0,32.2,2.5,0.81,0.14,0.42,12.8,0.0,0.0,0.0,9.4,9.4,0.16,-1.4,-1.4,Matches,January
571,Rk,Player,N,Pos,Squad,,,,,,,,,,,,,,,,,,,,,Matches,
572,551,Chris Wood,NZL,FW,Nott'ham Forest,32.0,1991.0,14.3,12.0,31.0,19.0,61.3,2.17,1.33,0.39,0.63,10.6,0.0,0.0,0.0,7.8,7.8,0.25,4.2,4.2,Matches,May
573,552,Cauley Woodrow,ENG,"FW,MF",Luton Town,29.0,1994.0,3.7,1.0,10.0,3.0,30.0,2.73,0.82,0.1,0.33,16.5,0.0,0.0,0.0,1.1,1.1,0.11,-0.1,-0.1,Matches,May
574,553,Joe Worrall,ENG,DF,Nott'ham Forest,27.0,1997.0,4.9,0.0,2.0,0.0,0.0,0.41,0.0,0.0,,10.6,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,Matches,June
575,554,Yehor Yarmoliuk,UKR,MF,Brentford,20.0,2004.0,6.8,0.0,9.0,4.0,44.4,1.32,0.59,0.0,0.0,18.1,0.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,Matches,July
576,555,Ryan Yates,ENG,MF,Nott'ham Forest,26.0,1997.0,18.7,0.0,21.0,5.0,23.8,1.12,0.27,0.0,0.0,18.0,0.0,0.0,0.0,2.0,2.0,0.1,-2.0,-2.0,Matches,April
577,556,Ashley Young,ENG,"DF,MF",Everton,38.0,1985.0,19.1,0.0,12.0,2.0,16.7,0.63,0.1,0.0,0.0,22.1,3.0,0.0,0.0,0.6,0.6,0.05,-0.6,-0.6,Matches,December
578,557,Illia Zabarnyi,UKR,DF,Bournemouth,21.0,2002.0,31.0,1.0,8.0,2.0,25.0,0.26,0.06,0.13,0.5,7.5,0.0,0.0,0.0,1.1,1.1,0.14,-0.1,-0.1,Matches,January
579,558,Nicolò Zaniolo,ITA,"MF,FW",Aston Villa,24.0,1999.0,8.3,2.0,25.0,9.0,36.0,3.02,1.09,0.08,0.22,13.9,0.0,0.0,0.0,2.3,2.3,0.09,-0.3,-0.3,Matches,November
580,559,Anass Zaroury,MAR,"FW,MF",Burnley,23.0,2000.0,1.7,0.0,3.0,1.0,33.3,1.78,0.59,0.0,0.0,20.9,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2,Matches,March
581,560,Oleksandr Zinchenko,UKR,DF,Arsenal,27.0,1996.0,17.6,1.0,16.0,3.0,18.8,0.91,0.17,0.06,0.33,22.5,0.0,0.0,0.0,0.5,0.5,0.03,0.5,0.5,Matches,May
582,561,Kurt Zouma,FRA,DF,West Ham,29.0,1994.0,26.2,3.0,15.0,7.0,46.7,0.57,0.27,0.2,0.43,8.9,0.0,0.0,0.0,1.8,1.8,0.12,1.2,1.2,Matches,March
583,562,Martin Ødegaard,NOR,MF,Arsenal,25.0,1998.0,27.5,7.0,58.0,18.0,31.0,2.11,0.65,0.09,0.28,20.7,2.0,2.0,2.0,5.9,4.3,0.07,1.1,0.7,Matches,May
